word,count
wrote,84
allan,83
beat,83
becoming,83
colour,83
hurt,83
hill,83
flowers,83
folded,83
profession,83
miles,83
school,83
relations,83
troubled,83
wholly,83
dream,82
attitude,82
affection,82
affectionate,82
drummle,82
hurry,82
kindness,82
justice,82
lodging,82
rough,82
music,82
names,82
mysterious,82
professional,82
produced,82
precious,82
wade,82
start,82
wouldn’t,82
appears,81
bleeding,81
conscious,81
lock,81
maid,81
interposed,81
inside,81
ease,81
entirely,81
extremely,81
helena,81
health,81
forgive,81
questions,81
removed,81
rendered,81
sowerberry,81
tide,81
thick,81
credit,80
didn’t,80
fully,80
growing,80
extraordinary,80
lane,80
retired,80
period,80
move,80
teeth,80
dread,79
confused,79
clock,79
bottom,79
bow,79
add,79
mad,79
marquis,79
intelligence,79
knocked,79
krook,79
hush,79
happen,79
hastily,79
forefinger,79
midst,79
points,79
pieces,79
terrible,79
thinks,79
admiration,78
attended,78
baronet,78
ceiling,78
composed,78
deeply,78
draw,78
kiss,78
instantly,78
listening,78
meeting,78
required,78
space,78
throw,78
terror,78
taste,78
square,78
strongly,78
wooden,78
won’t,78
cruel,77
cloisterham,77
bob,77
breaking,77
bird,77
anxiety,77
advice,77
listen,77
hanging,77
grandfather,77
regular,77
objects,77
wants,77
asking,76
bench,76
canon,76
clever,76
considerable,76
couldn’t,76
directed,76
grew,76
gentleman's,76
referred,76
smoking,76
weight,76
turveydrop,76
william,76
distinguished,75
clean,75
chambers,75
chancellor,75
appointed,75
addressing,75
france,75
havisham's,75
figures,75
ma’am,75
joy,75
honourable,75
regard,75
remarked,75
noticed,75
officer,75
pace,75
twist,75
station,75
tender,75
cottage,74
cool,74
excellent,74
drop,74
frederick,74
merry,74
mud,74
pulled,74
showing,74
sign,74
vain,74
dogs,73
dignity,73
aloud,73
amount,73
apart,73
baptist,73
grateful,73
explained,73
extent,73
favourite,73
jobling,73
jacques,73
lodge,73
similar,73
shadows,73
snow,73
sofa,73
setting,73
neighbourhood,73
sydney,73
tight,73
tony,73
badger,72
accompanied,72
carefully,72
cross,72
couple,72
consequence,72
housekeeper,72
faithful,72
heartily,72
partner,72
spy,72
voices,72
confusion,71
cloak,71
advantage,71
judy,71
parting,71
older,71
recovered,71
rise,71
tongue,71
abroad,70
’s,70
art,70
captain,70
building,70
begged,70
boythorn,70
disappointed,70
gallery,70
expressive,70
finally,70
soft,70
mist,70
mistake,70
passion,70
tall,70
wood,70
yellow,70
complete,69
fault,69
future,69
harm,69
loose,69
madam,69
listened,69
lawyer,69
played,69
proper,69
middle,69
occurred,69
ourselves,69
solemn,69
respectable,69
reached,69
sees,69
ye,69
suffered,69
weakness,69
traveller,69
crown,68
double,68
chap,68
chain,68
circumstance,68
awful,68
mademoiselle,68
keys,68
importance,68
fur,68
forty,68
dying,68
satisfied,68
outer,68
mystery,68
warning,68
arose,67
cheek,67
belief,67
drood,67
drove,67
effort,67
elbow,67
especially,67
foreign,67
hearted,67
ma,67
melancholy,67
objection,67
proposed,67
puts,67
plainly,67
serious,67
rick,67
sigh,67
wasn't,67
uneasy,67
strike,67
temple,67
throwing,67
bleak,66
blank,66
bore,66
absence,66
considering,66
hotel,66
helped,66
exceedingly,66
explanation,66
fields,66
relieved,66
patient,66
parted,66
possessed,66
prince,66
suggested,66
tree,66
visitors,66
you've,66
clearly,65
attentive,65
basket,65
faint,65
gets,65
i'd,65
illness,65
jury,65
prevent,65
provis,65
request,65
roused,65
singular,65
wondering,65
bars,64
chairs,64
citizen,64
capital,64
closing,64
degree,64
distress,64
delivered,64
judgment,64
kindly,64
fro,64
false,64
evidence,64
escape,64
shade,64
reflection,64
nonsense,64
merdle's,64
tip,64
delight,63
department,63
decimus,63
damp,63
counter,63
cloud,63
careful,63
calm,63
beer,63
_you_,63
generous,63
grass,63
knee,63
important,63
leading,63
landlord,63
misery,63
quantity,63
rolled,63
share,63
shone,63
sounds,63
stars,63
ay,62
assented,62
carrying,62
catch,62
ceremony,62
consent,62
cough,62
interview,62
he'll,62
girls,62
evil,62
sick,62
somehow,62
smell,62
servants,62
rested,62
peculiar,62
news,62
nod,62
stage,62
striking,62
struggle,62
tattycoram,62
creatures,61
dancing,61
cup,61
degrees,61
constantly,61
connected,61
drank,61
changes,61
arrival,61
assistance,61
aye,61
advanced,61
agreed,61
events,61
eyebrows,61
eyed,61
higher,61
grimwig,61
interests,61
inclined,61
lately,61
matron,61
meanwhile,61
repeats,61
smiled,61
situation,61
toby,61
waiter,61
trial,61
unknown,61
aid,60
amiable,60
_i_,60
attend,60
articles,60
butter,60
beneath,60
delay,60
disturbed,60
discovered,60
coarse,60
daily,60
courage,60
individual,60
harry,60
gloves,60
example,60
enter,60
sides,60
ship,60
regarded,60
remains,60
notes,60
offered,60
official,60
painful,60
plate,60
playing,60
portrait,60
unusual,60
travelling,60
stared,60
steadily,60
counting,59
dim,59
appearing,59
advance,59
equal,59
dressing,59
female,59
marshes,59
loving,59
practical,59
prisoners,59
pen,59
persons,59
occupation,59
observes,59
served,59
search,59
shot,59
softened,59
sum,59
suspected,59
thin,59
thanked,59
unable,59
wanting,59
up-stairs,59
afore,58
accept,58
apron,58
ashes,58
aspect,58
attached,58
bending,58
buried,58
ceased,58
delighted,58
corney,58
datchery,58
daughters,58
closely,58
concerning,58
lifted,58
indignation,58
instance,58
established,58
furniture,58
forced,58
hearth,58
shape,58
sorts,58
rubbing,58
recall,58
render,58
offence,58
physician,58
polite,58
vengeance,58
term,58
surface,58
stare,58
stock,58
conclusion,57
consequently,57
collar,57
desperate,57
charming,57
cases,57
apartment,57
authority,57
ancient,57
henry,57
everywhere,57
explain,57
jail,57
idle,57
mann,57
moon,57
nice,57
nevertheless,57
remaining,57
released,57
rusty,57
shirt,57
surrounded,57
stronger,57
sympathy,57
tied,57
tower,57
visible,57
weevle,57
ugly,57
wondered,57
arranged,56
birthday,56
breathing,56
disappeared,56
client,56
imagine,56
joe's,56
lamps,56
fountain,56
sought,56
recalled,56
muttered,56
observation,56
pretence,56
pot,56
pursuit,56
pushed,56
wear,56
variety,56
useful,56
superior,56
stool,56
starting,56
clasped,55
connection,55
confess,55
disagreeable,55
brittles,55
birth,55
casby,55
charlotte,55
churchyard,55
apparently,55
attendance,55
beating,55
admitted,55
forge,55
forms,55
headed,55
happily,55
fail,55
flight,55
ends,55
edmund,55
knock,55
knitting,55
instrument,55
intent,55
intervals,55
interrupted,55
leaned,55
paused,55
partly,55
observing,55
nodding,55
neat,55
necessity,55
minds,55
represented,55
resting,55
ridiculous,55
returning,55
serve,55
sergeant,55
separate,55
shortly,55
wandering,55
wishes,55
answers,54
bag,54
article,54
dine,54
consciousness,54
contrary,54
deceased,54
decided,54
curiosity,54
learn,54
eating,54
flat,54
fog,54
handel,54
hidden,54
footsteps,54
secrets,54
ruin,54
risen,54
respecting,54
repeat,54
moment's,54
mill,54
nights,54
passes,54
piano,54
woman's,54
wrapped,54
wound,54
workhouse,54
upper,54
upright,54
uttered,54
supposing,54
success,54
tiny,54
dangerous,53
constant,53
completely,53
compassion,53
claim,53
distinctly,53
chest,53
choice,53
card,53
blessed,53
blessing,53
begins,53
good-bye,53
growled,53
fierce,53
finds,53
firm,53
edward,53
elder,53
learned,53
legal,53
land,53
lantern,53
lonely,53
inquire,53
immense,53
progress,53
pains,53
pa,53
ordered,53
month,53
reminded,53
seek,53
shouldn't,53
tenderness,53
thanks,53
spread,53
wos,53
cards,52
awake,52
awakened,52
bearing,52
barnacles,52
agitation,52
active,52
doorway,52
cloth,52
conduct,52
holds,52
injury,52
king,52
joined,52
emphasis,52
exercise,52
guilty,52
hadn't,52
hide,52
gateway,52
freely,52
shame,52
soldiers,52
spite,52
ringing,52
moonlight,52
member,52
pressing,52
rate,52
spring,52
warn't,52
custom,51
dean,51
accepted,51
accident,51
becomes,51
astonishment,51
candles,51
circle,51
bought,51
glasses,51
grace,51
failed,51
flying,51
emotion,51
excited,51
job,51
intended,51
impatient,51
ragged,51
pressed,51
previous,51
powerful,51
patriarch,51
passages,51
meat,51
orlick,51
result,51
reputation,51
restless,51
sister's,51
simple,51
silently,51
urged,51
vast,51
sufficient,51
tells,51
tear,51
wine-shop,51
assurance,50
approached,50
ain’t,50
courtyard,50
compliments,50
claypole,50
domestic,50
disappointment,50
