display_term,occurrence_count,key
even,92,The Mystery of Edwin Drood
far,92,Great Expectations
country,92,Bleak House
room,92,A Tale of Two Cities
light,92,A Tale of Two Cities
manner,92,A Tale of Two Cities
sort,92,Bleak House
tell,92,A Tale of Two Cities
times,92,Great Expectations
trouble,92,Bleak House
volumnia,92,Bleak House
used,92,Bleak House
twinkleton,92,The Mystery of Edwin Drood
look,91,The Mystery of Edwin Drood
last,91,The Mystery of Edwin Drood
men,91,A Tale of Two Cities
men,91,Bleak House
phil,91,Bleak House
day,91,The Mystery of Edwin Drood
chair,91,Oliver Twist
eye,91,Little Dorrit
fine,91,Bleak House
heart,91,Great Expectations
strong,91,Little Dorrit
figure,90,Bleak House
five,90,Bleak House
better,90,A Tale of Two Cities
passed,90,Bleak House
pretty,90,Little Dorrit
observed,90,Little Dorrit
seems,90,Bleak House
nothing,89,The Mystery of Edwin Drood
means,89,Little Dorrit
large,89,Little Dorrit
black,89,Little Dorrit
certainly,89,Bleak House
child,89,A Tale of Two Cities
dark,89,A Tale of Two Cities
deal,89,Bleak House
eyes,89,The Mystery of Edwin Drood
hard,89,Little Dorrit
gentlemen,89,Bleak House
ghost,89,A Christmas Carol
full,89,Little Dorrit
true,89,Bleak House
towards,89,Great Expectations
going,88,A Tale of Two Cities
doing,88,Bleak House
doing,88,Little Dorrit
dinner,88,Little Dorrit
circumlocution,88,Little Dorrit
chair,88,Great Expectations
often,88,Great Expectations
papa,88,Little Dorrit
standing,88,Bleak House
word,88,Great Expectations
work,88,A Tale of Two Cities
poor,87,A Tale of Two Cities
quite,87,The Mystery of Edwin Drood
nor,87,Bleak House
means,87,Bleak House
mistress,87,Little Dorrit
late,87,Little Dorrit
least,87,Little Dorrit
corner,87,Little Dorrit
asked,87,A Tale of Two Cities
flite,87,Bleak House
few,87,A Tale of Two Cities
give,87,Great Expectations
house,87,The Mystery of Edwin Drood
word,87,Oliver Twist
whom,87,Great Expectations
years,87,A Tale of Two Cities
turned,87,Great Expectations
wanted,87,Little Dorrit
water,87,Little Dorrit
hope,86,Great Expectations
honour,86,Little Dorrit
i'll,86,Bleak House
ha,86,Oliver Twist
ever,86,Oliver Twist
best,86,Great Expectations
called,86,Little Dorrit
care,86,Little Dorrit
knew,86,A Tale of Two Cities
object,86,Bleak House
part,86,Great Expectations
papers,86,Bleak House
saw,86,A Tale of Two Cities
side,86,Oliver Twist
won't,86,Bleak House
street,86,Oliver Twist
three,86,Great Expectations
tellson's,86,A Tale of Two Cities
nature,85,Little Dorrit
clennam's,85,Little Dorrit
answer,85,Little Dorrit
friend,85,Oliver Twist
i'll,85,Great Expectations
stopped,85,Little Dorrit
small,85,Little Dorrit
